metaseek_environmental_package,sra_run_accession
sediment,SRR4069407
sediment,ERR1474613
water,SRR4343439
built environment,ERR1332600
human-gut,ERR209626
water,ERR598955
wastewater/sludge,ERR712383
wastewater/sludge,SRR2938315
microbial mat/biofilm,SRR1171647
microbial mat/biofilm,SRR1707409
sediment,ERR1560098
wastewater/sludge,ERR977414
wastewater/sludge,ERR977422
human-gut,SRR5091465
microbial mat/biofilm,ERR1855538
wastewater/sludge,ERR1076075
microbial mat/biofilm,ERR1855552
human-skin,SRR3184383
host-associated,SRR925829
human-gut,ERR1600429
host-associated,ERR1366724
water,ERR1726775
water,ERR1726943
water,ERR1726572
host-associated,ERR1135232
human-gut,ERR209703
built environment,SRR1577782
human-gut,SRR5164026
wastewater/sludge,SRR1616983
wastewater/sludge,ERR1076080
microbial mat/biofilm,SRR2556884
microbial mat/biofilm,ERR1855546
built environment,ERR1332623
built environment,ERR1332614
water,ERR694158
microbial mat/biofilm,ERR1739691
water,ERR599252
miscellaneous,SRR1298754
soil,SRR1574704
soil,ERR1017187
sediment,ERR970605
built environment,ERR1332606
water,SRR1185414
built environment,ERR1332586
soil,SRR1238204
miscellaneous,DRR046818
built environment,SRR1577774
plant-associated,SRR1511001
plant-associated,SRR1754159
soil,ERR1700691
human-gut,ERR1190830
miscellaneous,DRR027592
sediment,ERR1201181
microbial mat/biofilm,SRR830624
soil,SRR1238205
miscellaneous,ERR1698988
soil,SRR5234512
water,ERR1987930
plant-associated,ERR2145397
sediment,ERR1743388
soil,ERR2603191
miscellaneous,ERR1353140
soil,ERR1877921
human-gut,ERR3053395
miscellaneous,ERR2239851
human-gut,ERR2816294
plant-associated,ERR2145413
water,ERR2017141
miscellaneous,ERR2298558
plant-associated,ERR2709726
sediment,ERR1743304
built environment,ERR2699805
built environment,ERR2699809
sediment,ERR1743339
wastewater/sludge,ERR1960627
host-associated,ERR2241851
host-associated,ERR2200504
plant-associated,ERR2969987
plant-associated,ERR2819892
sediment,ERR2215874
wastewater/sludge,ERR1746303
plant-associated,ERR2709750
miscellaneous,ERR1358726
plant-associated,ERR2144884
soil,ERR1960504
soil,ERR2767288
sediment,ERR1743283
miscellaneous,ERR2239841
host-associated,ERR2200674
miscellaneous,ERR2239840
host-associated,ERR2765138
wastewater/sludge,ERR3173383
plant-associated,ERR2022395
microbial mat/biofilm,ERR2020026
microbial mat/biofilm,ERR2020015
human-gut,ERR3521978
